('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         960268 function calls (935630 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1025    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       13    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      260    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      358    0.000    0.000    0.002    0.000 typing.py:730(<genexpr>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 unix_events.py:1(<module>)
      446    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      178    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
     3607    0.001    0.000    0.002    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       29    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     2767    0.001    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
        2    0.000    0.000    0.002    0.001 subprocess.py:1(<module>)
     8975    0.002    0.000    0.002    0.000 formatter.py:187(<genexpr>)
        1    0.000    0.000    0.002    0.002 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
      707    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
      828    0.001    0.000    0.002    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
      571    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
     5306    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1497    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
     5156    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       14    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
     6090    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       29    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1051    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     6711    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      736    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       36    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
        1    0.000    0.000    0.001    0.001 sync.py:1(<module>)
      827    0.001    0.000    0.001    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
      766    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
     1485    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        3    0.000    0.000    0.001    0.000 typing.py:2809(__new__)
     7685    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      936    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
     5728    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       27    0.000    0.000    0.001    0.000 typing.py:1575(__getitem__)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
      790    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
       50    0.000    0.000    0.001    0.000 typing.py:892(__init__)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
     24/9    0.000    0.000    0.001    0.000 inspect.py:2497(_signature_from_callable)
     3996    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _lxml.py:156(parser_for)
        1    0.000    0.000    0.001    0.001 timeouts.py:1(<module>)
      309    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      828    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
      247    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      234    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2879    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        8    0.000    0.000    0.001    0.000 inspect.py:3339(signature)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        3    0.000    0.000    0.001    0.000 typing.py:2790(_make_nmtuple)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        8    0.000    0.000    0.001    0.000 inspect.py:3077(from_callable)
        1    0.001    0.001    0.001    0.001 _lxml.py:475(default_parser)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       50    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      124    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       49    0.000    0.000    0.001    0.000 typing.py:1123(_generic_init_subclass)
        1    0.000    0.000    0.001    0.001 _impl.py:1(<module>)
      131    0.000    0.000    0.001    0.000 element.py:1442(output_ready)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     2639    0.001    0.000    0.001    0.000 element.py:2598(_should_pretty_print)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
